protein_ids	12500amol_r1	12500amol_r2	12500amol_r3	125amol_r1	125amol_r2	125amol_r3	25000amol_r1	25000amol_r2	25000amol_r3	2500amol_r1	2500amol_r2	2500amol_r3	250amol_r1	250amol_r2	250amol_r3	50000amol_r1	50000amol_r2	50000amol_r3	5000amol_r1	5000amol_r2	5000amol_r3	500amol_r1	500amol_r2	500amol_r3	50amol_r1	50amol_r2	50amol_r3
sp|P32626|ENOPH_YEAST	7778900	10211000	11909000	9071500	8590500	9183200	8775100	10449000	10279000	8313900	9110800	13105000	11707000	7135100	8326700	11421000	11936000	10429000	10252000	9744500	10009000	9162100	9193300	7782600	8186500	11201000	10112000
sp|P32628|RAD23_YEAST	15750000	10779000	8114000	16725000	21467000	20654000	16599000	14289000	23083000	0	15414000	18158000	20101000	0	23046000	12879000	15069000	18223000	18129000	14992000	15338000	0	20963000	0	14696000	17663000	16375000
sp|P32642|GLRX4_YEAST;sp|Q03835|GLRX3_YEAST	4562600	4646400	4137000	4282800	5620700	4906100	4216700	4112000	4028100	5551000	4115700	5111800	4793000	5202400	3122200	3673300	3896300	4605200	4401200	5037800	4411100	3014200	3873000	4076900	6025500	4572300	5003200
sp|P32645|ISC10_YEAST	9273500	10301000	9657700	12726000	13160000	11942000	9460100	12067000	13497000	8286800	9573300	9803500	11706000	11511000	10363000	13100000	13811000	14415000	7640400	8889100	9190800	12536000	12194000	11703000	8194500	11045000	10725000
sp|P32767|KA122_YEAST	0	2752300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3206200	2216100	0
sp|P32771|FADH_YEAST	17000000	16685000	21507000	16018000	19232000	20675000	19059000	17276000	18278000	23165000	24670000	20714000	19266000	16389000	22444000	20617000	20106000	15175000	19956000	24166000	20144000	17876000	18611000	20631000	13811000	15894000	14621000
sp|P32773|TOA1_YEAST	14525000	14302000	0	15418000	16619000	13730000	0	15024000	11734000	13655000	14369000	13857000	11405000	9778300	12390000	0	0	0	14687000	15560000	0	13921000	13117000	12208000	10096000	11894000	11809000
sp|P32775|GLGB_YEAST	63218000	58566000	62237000	67098000	67986000	61797000	62069000	58267000	59038000	62121000	67535000	67296000	71211000	67652000	63610000	54874000	54859000	49376000	58190000	66513000	60588000	67717000	61377000	60988000	71637000	66044000	63236000
sp|P32803|EMP24_YEAST	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2943300	0	0
sp|P32835|GSP1_YEAST;sp|P32836|GSP2_YEAST	209920000	193170000	215770000	197400000	195730000	197820000	206520000	192810000	211200000	212960000	206150000	189770000	204210000	192380000	209710000	203540000	211330000	195770000	207200000	223320000	211590000	193370000	203930000	194560000	174310000	191210000	193160000
sp|P32860|NFU1_YEAST	3644700	3258600	4595600	7070300	6015000	6474100	5085900	4367500	4970800	5021700	4194300	4968100	4967300	4651900	4800300	4633300	6664900	14726000	4990500	5206600	4528000	5014100	4889500	4324700	6977800	5824900	6324200
sp|P32861|UGPA1_YEAST	81960000	85541000	81522000	73600000	72979000	79149000	78789000	84599000	84609000	85098000	80792000	85991000	78213000	76443000	80577000	80289000	80363000	76451000	80508000	85090000	88108000	81078000	83791000	78402000	69172000	68226000	72636000
sp|P32867|SSO1_YEAST	2015900	2316700	2125600	3568600	3423100	3128400	2905200	2758800	2633500	2341800	1881400	2516900	2674700	2843200	2664400	3899700	4608400	5007600	1938500	2055400	2357700	2954600	3175500	3572600	3488000	3989100	3247900
sp|P32891|DLD1_YEAST	15688000	15858000	13558000	13653000	18187000	17274000	15261000	15956000	15238000	15922000	11854000	14829000	14819000	16967000	15224000	16906000	14202000	16345000	13867000	16035000	14602000	16416000	15048000	18191000	10849000	13054000	14502000
sp|P32895|KPR1_YEAST	4896000	8406900	4031000	3785500	5274600	4856700	4114200	4159900	5134200	5640400	6207000	7781000	4683000	4023100	4109300	4194600	3754600	4863200	4759100	5973400	4431400	5289600	4814000	4191300	7468200	4593200	5320500
sp|P32897|TIM23_YEAST	3810200	2757700	4720400	2300800	1926900	2206900	3466700	3261000	1852400	3966200	3505000	2899000	1836000	1938500	1841500	2470200	2331400	3008300	2608300	2340000	4342000	2229900	2192000	2429200	1574200	1866200	1677000
sp|P32905|RSSA1_YEAST;sp|P46654|RSSA2_YEAST	639370000	636960000	631960000	644640000	650130000	653210000	624070000	609980000	616530000	630610000	654560000	639030000	654480000	640440000	626960000	573890000	545220000	567870000	656210000	635000000	656090000	660590000	675770000	658790000	649050000	711990000	626620000
sp|P32908|SMC1_YEAST	16288000	0	15566000	0	19169000	19478000	19412000	19775000	19934000	0	0	22459000	16285000	0	15885000	0	0	0	0	0	15185000	20816000	18803000	21378000	0	0	16444000
sp|P32911|SUI1_YEAST	94646000	97849000	100670000	87330000	88075000	101200000	92010000	101420000	82082000	88222000	100250000	98819000	89290000	104310000	91894000	87092000	79684000	83617000	94525000	108710000	96317000	97320000	106580000	104100000	79037000	84702000	88611000
sp|P32915|SC61A_YEAST	8088800	8220600	6162600	6139800	11802000	5538800	8444200	9174600	7455200	7323600	8374700	6600900	7502100	6953900	6315400	6489400	7161800	8479500	9119800	6294400	3919700	7393600	6431600	6685400	8897800	7654800	10686000
sp|P32939|YPT7_YEAST	7776500	9030100	0	7673000	7071300	6494700	7379500	9793500	9600700	7258100	6535300	6723600	6994600	7474300	8049100	8773700	6868000	7178200	6579600	6554800	7592400	7529600	8370100	8490000	11427000	5829400	5572900
sp|P33201|MRT4_YEAST	14982000	16807000	12193000	12275000	15652000	14969000	11494000	15038000	11512000	16596000	14957000	15526000	11654000	12248000	12263000	11228000	10726000	12370000	14916000	13446000	16931000	21116000	19002000	15395000	10849000	10367000	11679000
sp|P33204|ARPC4_YEAST	25890000	27494000	25984000	29026000	30749000	28422000	22080000	22697000	22020000	31414000	28776000	27436000	27037000	29740000	34570000	20780000	18231000	20907000	28345000	22031000	25180000	26910000	33745000	28840000	19656000	21231000	26333000
sp|P33297|PRS6A_YEAST	23778000	20603000	24126000	23600000	22516000	22748000	21508000	22499000	21684000	25519000	22251000	25101000	23124000	21196000	21089000	21361000	17820000	15804000	24383000	22151000	23986000	21754000	20971000	21893000	20697000	18831000	23384000
sp|P33298|PRS6B_YEAST	10998000	13538000	14183000	12806000	7913700	13638000	13352000	8648800	9626600	13201000	11367000	11287000	10846000	13078000	9777700	9490200	9207200	9156900	11427000	13140000	10744000	10811000	11222000	12395000	18140000	16140000	13959000
sp|P33299|PRS7_YEAST	7694400	7556300	7033000	6484400	8363100	7990400	7568800	8942500	9105700	7778200	9948500	8197300	8668200	10882000	9425800	9173300	8473600	7769500	8250500	8451400	8998500	8112200	7085700	6432100	6267200	6675600	6809200
sp|P33303|SFC1_YEAST	4802100	5707200	4345600	5322900	4120100	5547400	4932200	3993700	5646100	5440000	5499200	3588400	4313100	3942500	4849300	3405500	4803500	4653700	4995600	5639000	4647400	6631700	4316900	4061100	0	3880000	3984800
sp|P33307|CSE1_YEAST	0	0	0	4582500	0	4923100	0	3736600	0	2085900	0	0	5150600	4361600	3714700	0	0	0	0	0	0	4446100	4410600	4328200	7388000	7359900	0
sp|P33322|CBF5_YEAST	46634000	40446000	43668000	49625000	44737000	49057000	41948000	40542000	45380000	45318000	46038000	51338000	49587000	43886000	45536000	34173000	35408000	41603000	47965000	43884000	45386000	43869000	43001000	46644000	52879000	48761000	40717000
sp|P33327|DHE2_YEAST	108760000	114270000	102110000	111110000	105290000	114250000	111020000	107390000	106810000	126430000	123480000	125840000	116530000	112960000	111180000	103560000	110300000	100590000	113770000	117780000	127790000	110640000	118660000	113100000	115520000	112820000	103910000
sp|P33330|SERC_YEAST	15450000	15495000	16787000	12839000	14948000	15075000	13182000	14618000	13952000	16107000	15923000	18159000	15245000	15297000	15900000	11563000	11671000	11628000	16469000	16162000	15173000	14010000	13419000	16024000	17046000	13936000	12376000
sp|P33331|NTF2_YEAST	150540000	147780000	144770000	155540000	153470000	149720000	138190000	159820000	143450000	158550000	155480000	152400000	152410000	152680000	153300000	136730000	132550000	121300000	152420000	154790000	160400000	161920000	153160000	157520000	131300000	135140000	147950000
sp|P33399|LHP1_YEAST	4449300	4489200	5902200	3585000	3537800	4598300	3620800	4851700	3865700	4662700	5173500	4642800	4265300	5074600	4663400	4638800	4180400	4963600	4951500	3920600	4725700	3891600	3467800	4577600	2694800	3853400	3722100
sp|P33416|HSP78_YEAST	143510000	153730000	156970000	156400000	156410000	168690000	139270000	141360000	152180000	152610000	156030000	143710000	151170000	151450000	154930000	139750000	145080000	154710000	161180000	146910000	153340000	161520000	160320000	145370000	141980000	139700000	140450000
sp|P33421|SDH3_YEAST	9149600	10010000	8002900	9621900	8491300	8883400	8098000	9399100	9263400	9280500	8252300	8458600	9587100	8576400	9163700	9041500	9128900	8678800	8935000	9101900	9884100	9509700	8519300	8274300	5426600	9541200	7424100
sp|P33442|RS3A1_YEAST	63714000	57683000	57281000	56734000	55508000	61132000	58570000	64239000	60815000	65945000	67267000	66514000	59726000	68718000	63231000	62084000	62721000	58004000	69701000	66186000	67328000	70131000	65384000	65650000	36980000	45616000	49005000
sp|P33734|HIS5_YEAST	16931000	20455000	16892000	18157000	20743000	19176000	13922000	13389000	17414000	15689000	21135000	18602000	15803000	15544000	20265000	15536000	16276000	13050000	18741000	15307000	15765000	15065000	15212000	15447000	23995000	19517000	21420000
sp|P33892|GCN1_YEAST	11150000	14665000	12428000	11467000	12552000	12299000	15194000	16869000	13762000	9678700	10442000	12943000	12235000	11493000	10607000	11029000	15113000	12476000	12015000	15397000	10374000	11771000	13587000	8198100	10219000	12874000	12377000
sp|P34087|RPB7_YEAST	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1558800	0	0
sp|P34160|NCBP1_YEAST	1799200	0	0	0	0	0	0	0	0	0	9307400	1959700	1823300	2048500	0	1468300	0	0	1872300	0	0	0	0	0	0	1733700	0
sp|P34167|IF4B_YEAST	87681000	93424000	84356000	91873000	91021000	92673000	87206000	98915000	97881000	93751000	90796000	104520000	94881000	88711000	91896000	95759000	97545000	93483000	102420000	93589000	97480000	96463000	87418000	89488000	77603000	87133000	87890000
sp|P34216|EDE1_YEAST	75747000	75323000	68786000	62819000	68017000	72662000	68986000	76046000	72083000	77820000	79787000	76061000	75911000	70430000	74374000	66772000	69619000	59927000	81168000	82052000	76098000	77341000	77908000	74422000	51991000	55600000	57659000
sp|P34221|PP2C3_YEAST	5891700	5147300	5787300	4888600	5385900	7249400	6184300	6971700	7984700	6523500	6409200	5490600	5138400	6064300	5135100	7585400	5959500	7878400	6990400	5791100	6200300	7053900	5361300	6386400	4167500	5000200	4964600
sp|P34223|UBX1_YEAST	14188000	17248000	19764000	16374000	18437000	19478000	22560000	13272000	20090000	19822000	18110000	18185000	17980000	17028000	15601000	15600000	25223000	15303000	16576000	13676000	15580000	16695000	20204000	18527000	19765000	16343000	17118000
sp|P34227|PRX1_YEAST	142320000	142470000	144410000	133620000	136770000	142750000	137550000	146670000	138210000	157170000	152960000	152080000	141440000	142040000	141160000	131100000	128190000	126860000	145860000	147300000	148640000	143000000	145890000	143250000	152690000	135730000	132180000
sp|P34233|ASH1_YEAST;sp|P38707|SYNC_YEAST	206230000	220940000	206040000	198990000	215070000	220550000	222780000	212650000	199200000	234320000	228880000	230920000	212060000	216110000	213240000	203490000	212810000	182960000	239450000	235920000	224370000	231830000	230230000	217960000	174210000	191940000	201750000
sp|P34730|BMH2_YEAST	56105000	50174000	50103000	58438000	56383000	47619000	50516000	59839000	59767000	52329000	50108000	55250000	48304000	50966000	47447000	58582000	54475000	61375000	54738000	51949000	52780000	52048000	48751000	51520000	98176000	77260000	70476000
sp|P34760|TSA1_YEAST;sp|Q04120|TSA2_YEAST	1267300000	1364200000	1368000000	1243200000	1257200000	1265600000	1287400000	1221500000	1243400000	1309400000	1345600000	1308100000	1291500000	1286200000	1299300000	1252400000	1208300000	1198100000	1316300000	1346000000	1305900000	1217500000	1237500000	1253700000	1516100000	1445000000	1259600000
sp|P35179|SC61G_YEAST	16653000	15831000	16376000	17215000	16160000	16041000	18177000	17372000	14999000	17060000	17288000	17546000	15940000	16897000	17196000	16718000	16986000	15628000	17319000	16318000	16128000	15653000	18034000	16859000	13695000	13584000	17522000
sp|P35180|TOM20_YEAST	6234900	7515300	7693900	6469400	7089800	6780500	9276900	8641800	7569700	8285000	8548300	7189300	6500400	7151100	7530300	4524000	6462100	5574700	6349500	7816000	9198400	7852100	10103000	9701200	5804700	6674300	8018400
sp|P35189|TAF14_YEAST	2773400	2647000	2462500	2958300	2396800	3136900	2057800	3543300	3431700	2902700	3464900	2847200	3609400	3360500	2937600	2524900	2833300	2795800	3780300	2745500	2962600	2963000	2935700	3194000	3110700	2472400	2682600
sp|P35195|ECM15_YEAST	0	0	0	6582800	6373200	0	6671700	5878300	0	0	0	0	6259500	6277700	6399700	5836400	0	0	4337000	0	0	7045100	0	0	17438000	8594100	7215500
sp|P35197|GCS1_YEAST	3057000	2470100	1648300	2447600	2268800	2525400	2053500	2165200	1866800	3220700	2225800	2879100	3086200	2317600	2122300	2853900	2021800	2715000	3605400	2068300	2178300	2407400	2416900	2664900	2080700	1904200	2505600
sp|P35691|TCTP_YEAST	578780000	556970000	564080000	648740000	638530000	627560000	554780000	576640000	570940000	588880000	611640000	604650000	618130000	611110000	620030000	563340000	553520000	564960000	598710000	599500000	601830000	623360000	606910000	630800000	541720000	610030000	610620000
sp|P35719|MRP8_YEAST	68262000	69004000	72636000	78109000	78693000	80405000	68704000	76059000	71538000	75541000	77786000	79009000	75112000	70606000	75869000	74534000	64755000	67851000	76363000	77260000	75545000	70949000	72467000	80933000	62438000	68252000	82948000
sp|P35723|YET1_YEAST	13226000	14549000	14034000	15953000	13044000	12748000	14438000	17894000	15770000	16338000	15613000	13994000	13415000	13863000	12944000	13104000	12753000	14266000	14748000	16199000	13938000	13875000	14569000	12327000	18919000	17575000	14411000
sp|P35732|DEF1_YEAST	5177500	4050900	4887400	6127300	4039400	4472300	4807200	4007100	3573400	5577000	4696200	5879700	5628200	4396900	5191100	3883100	4728300	4475200	3961200	4392800	4706000	4871600	3889000	4360200	7049400	4519600	4165600
sp|P35844|KES1_YEAST	37603000	37696000	37362000	32912000	35548000	34703000	38287000	41707000	47755000	36447000	31539000	40311000	28587000	30644000	33521000	48129000	47380000	48943000	30385000	35175000	35474000	28072000	26887000	35067000	25693000	30497000	34813000
sp|P35997|RS27A_YEAST;sp|P38711|RS27B_YEAST	235430000	245320000	253950000	240390000	241100000	212000000	225430000	205340000	222860000	264330000	243340000	276850000	214520000	214890000	273790000	228910000	219420000	220610000	242220000	275680000	237560000	232900000	253550000	269120000	220270000	264000000	252310000
sp|P36006|MYO3_YEAST	2385100	4661800	3189800	0	0	2496600	3227400	0	2719600	3255000	4302000	3744900	2522500	2873400	0	0	3041300	1666900	0	2818600	3107400	0	2493700	2639900	0	1997000	3206100
sp|P36008|EF1G2_YEAST	472950000	451520000	467350000	429790000	436470000	427080000	451700000	449920000	461710000	458430000	480160000	470040000	443590000	433000000	455190000	429320000	411200000	401320000	465600000	463180000	472940000	452980000	449880000	453660000	390530000	411100000	416660000
sp|P36010|NDK_YEAST	173510000	168380000	185980000	190990000	194270000	185730000	169030000	175730000	173150000	182950000	196710000	192670000	171630000	166180000	176210000	175790000	163280000	176100000	164270000	172810000	179780000	189540000	180260000	170750000	190740000	194400000	202680000
sp|P36013|MAOM_YEAST	3997100	4080500	4211000	3614400	3763800	3954100	4877600	4450700	5454300	4977600	5210900	5199000	5038500	3942600	3817000	3952500	4199800	4299300	6033200	6478000	4631900	4088300	4548800	4237100	3636200	3501000	3573600
sp|P36015|YKT6_YEAST	12573000	11818000	10515000	13883000	13346000	13799000	10657000	12100000	11218000	12530000	11602000	12509000	10767000	10204000	11398000	10812000	10294000	12663000	12183000	11249000	12721000	9373200	9658600	9656900	10394000	11479000	12471000
sp|P36017|VPS21_YEAST	21703000	22326000	22384000	21444000	23989000	18641000	22655000	23889000	21484000	22228000	24989000	22274000	15237000	20765000	22412000	19928000	20172000	19885000	22235000	28162000	23760000	21178000	19947000	20219000	18463000	22614000	18326000
sp|P36018|YPT52_YEAST;sp|P36019|YPT53_YEAST	5763200	6556400	7155900	7184800	7461600	7143800	4891300	0	6545400	6758200	8717600	6246500	6883800	8186200	6623700	4341000	4800900	4126400	7875400	6952700	6247300	8776300	7602900	6571200	6500500	8348600	9146700
sp|P36037|DOA1_YEAST	0	0	0	3552700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5538200	0	0	0	0	0	1976200	3913600	0
sp|P36046|MIA40_YEAST	4822700	6629400	5245700	5922600	7265400	8209500	5064200	4375300	5879500	8519700	6478000	7322500	7853600	5315100	7245600	5189700	4906400	4372200	6309200	6494700	7704200	6653600	6439900	6525400	6918100	6165300	4668000
sp|P36047|SDS22_YEAST	47235000	50332000	50521000	49145000	44226000	56769000	42167000	42371000	50661000	52484000	52182000	47934000	47341000	54845000	51925000	48568000	37541000	46204000	52078000	51253000	51374000	57275000	45616000	55009000	46088000	46552000	61450000
sp|P36060|MCR1_YEAST	3536100	5344400	3817200	3461100	3735600	3161800	3740100	4139400	4301600	4367500	3918300	4157700	3689900	3180800	3388500	3552100	3039200	4144600	4024300	4727100	4152600	3789500	4832600	3458600	3320200	0	3672300
sp|P36105|RL14A_YEAST;sp|P38754|RL14B_YEAST	214830000	222950000	215470000	209900000	216780000	202270000	209910000	212190000	210290000	223210000	218300000	223250000	206790000	210140000	203680000	200390000	191110000	193210000	218260000	232920000	224770000	226410000	213580000	229890000	227830000	224440000	201980000
sp|P36108|DID4_YEAST	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp|P36135|UTH1_YEAST	42501000	42740000	42922000	38677000	45499000	42960000	40363000	41055000	50373000	47409000	48702000	44194000	41591000	43216000	41602000	37368000	35006000	41219000	49604000	49812000	46546000	48085000	51999000	50361000	38697000	39447000	41190000
sp|P36136|SHB17_YEAST	25244000	26653000	23766000	33005000	25804000	25452000	25211000	27627000	22112000	27085000	35382000	23267000	24365000	24201000	26837000	20348000	24002000	19379000	22228000	18248000	25121000	28307000	25917000	23185000	22648000	27919000	26553000
sp|P36139|PET10_YEAST	86831000	89051000	101810000	82530000	89917000	96306000	91351000	89459000	100940000	101640000	94985000	96922000	85119000	83962000	88534000	91130000	92059000	93299000	95280000	98306000	95517000	102220000	99349000	90460000	76212000	81772000	85840000
sp|P36141|FMP46_YEAST	5366000	0	0	0	0	0	0	4344300	5521900	0	3952200	6306200	0	0	0	0	0	0	4303100	5258700	0	0	0	0	2744600	4360900	4678100
sp|P36154|AIM29_YEAST	3227800	2496000	0	3785400	2840900	3190300	2663900	3045900	3174400	0	2267300	1143100	2242200	3731900	2298200	2448000	0	0	3496600	1147500	2606800	9066500	4468600	2721300	2824200	3047500	2731600
sp|P36156|GTO2_YEAST	15180000	14603000	14528000	21941000	15628000	15162000	16947000	17855000	16503000	16836000	16822000	15893000	16794000	16336000	14073000	14748000	15122000	15622000	15545000	16732000	16305000	14453000	15370000	21990000	18024000	17439000	16837000
sp|P36421|SYYC_YEAST	153480000	151910000	146030000	126040000	126740000	132880000	142670000	168260000	151520000	161660000	152790000	137540000	145090000	143150000	132860000	129780000	129110000	135850000	155850000	156300000	158110000	141350000	135730000	139200000	126140000	125450000	107260000
sp|P36523|RM15_YEAST	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5073400	0	0
sp|P37012|PGM2_YEAST	124790000	123110000	125500000	143410000	141350000	132270000	128870000	143080000	128310000	139100000	134330000	129750000	130110000	136300000	136000000	128620000	122380000	122660000	134730000	130100000	135690000	139720000	136430000	132470000	121940000	135780000	124820000
sp|P37262|SOL2_YEAST	0	6129700	0	5113600	6333400	5835300	4981600	6991700	6866800	6108600	6383900	5098100	5382000	7019300	5785900	5138900	5191400	4601900	6473300	0	7947700	8021200	5835200	5182500	10285000	5441600	6057000
sp|P37291|GLYC_YEAST	190210000	181370000	176450000	181590000	181340000	201400000	161350000	187040000	179150000	184860000	194560000	189140000	181820000	192020000	176520000	172260000	167610000	160810000	195220000	186120000	183400000	187450000	192290000	198510000	176720000	182610000	178290000
sp|P37292|GLYM_YEAST	76002000	79785000	78989000	66324000	73684000	73201000	73618000	81676000	77535000	77332000	75570000	81381000	79966000	76802000	74514000	70939000	70014000	73330000	80521000	81463000	83194000	82962000	80654000	82788000	73384000	66806000	77797000
sp|P37299|QCR10_YEAST	5441900	5761800	5316300	5805400	8234800	6836600	5310500	6877400	7824500	5528000	6543300	7240900	6888300	6212100	7214400	3960700	4043800	4256500	5781600	0	5430900	6636700	8227700	6347300	5165500	5127400	5277100
sp|P37302|APE3_YEAST	57274000	49021000	48718000	51041000	48868000	48689000	47879000	53585000	47880000	58373000	51402000	49395000	49996000	43766000	46368000	50730000	48220000	48197000	55943000	55106000	51351000	40733000	42159000	46084000	54009000	53136000	51853000
sp|P37898|AAP1_YEAST	56661000	61778000	54085000	53910000	56161000	56139000	64201000	50530000	49644000	65784000	66384000	60929000	60689000	54819000	57533000	56260000	52126000	55013000	61769000	68757000	60217000	59195000	64105000	54908000	48397000	48372000	51564000
sp|P38011|GBLP_YEAST	832570000	855860000	860350000	938480000	935700000	924140000	828840000	756630000	779210000	862340000	865670000	858090000	898740000	910400000	886910000	757810000	749850000	785750000	881270000	885920000	909200000	913660000	914710000	893990000	1116400000	1088600000	1039700000
sp|P38013|AHP1_YEAST	1898200000	1940800000	1952000000	2123900000	2072300000	2069600000	1911700000	1814700000	1819400000	1899200000	1936400000	1954200000	2035300000	2038900000	1975500000	1682100000	1745000000	1701900000	1921500000	1935800000	1930800000	1942900000	1983200000	1958000000	2058000000	2157900000	2157000000
sp|P38061|RL32_YEAST	165590000	163650000	155370000	166460000	162050000	154790000	150370000	181280000	179630000	157570000	144460000	147780000	157530000	159900000	162240000	161120000	164120000	168740000	160480000	161490000	158110000	161070000	161790000	184000000	199210000	198690000	174470000
sp|P38063|KPR4_YEAST;sp|P38689|KPR3_YEAST	11161000	12826000	12803000	14657000	17869000	18146000	15043000	14919000	17328000	13386000	15814000	13767000	12983000	17822000	15616000	12873000	14353000	10491000	13195000	13195000	13571000	15470000	17547000	14326000	12065000	16495000	13336000
sp|P38066|RIB1_YEAST	1529100	1938100	1350900	1607400	2160500	2098500	1608400	1783600	1977100	2096600	1273800	1854900	1521000	1878700	2118600	1862900	0	1630600	1840200	1555400	1493700	1629300	1486200	1755500	1998700	1737800	1755700
sp|P38067|UGA2_YEAST	0	4437500	0	7589500	8439400	0	0	0	0	0	0	0	5987900	2170200	6372500	0	0	0	0	4183600	0	5563500	0	5964500	7434900	6776500	7948500
sp|P38071|ETR1_YEAST	17557000	19026000	15529000	17842000	16970000	16887000	14626000	15745000	14894000	16957000	17286000	17873000	16206000	16929000	16504000	14020000	21081000	16807000	14516000	18037000	14970000	16988000	17731000	16776000	15206000	20481000	17364000
sp|P38074|HMT1_YEAST	20584000	17682000	18539000	16814000	15044000	16613000	19368000	13695000	16331000	18125000	17598000	18991000	16661000	17825000	15861000	10141000	11823000	12642000	18781000	20464000	18184000	16738000	15015000	16553000	15136000	20046000	18675000
sp|P38075|PDX3_YEAST	44068000	53346000	45640000	41067000	47517000	44918000	45741000	59495000	50489000	50982000	47097000	51255000	42070000	44743000	39381000	42660000	45631000	42909000	55887000	61559000	43010000	41296000	40256000	43823000	48672000	42306000	44993000
sp|P38077|ATPG_YEAST	68074000	67763000	67951000	49627000	47543000	51459000	64264000	77945000	78788000	71236000	71053000	69385000	57596000	57886000	54886000	69890000	60391000	56062000	66891000	78568000	65417000	56594000	57579000	60203000	47582000	48892000	47929000
sp|P38079|YRO2_YEAST;sp|Q12117|MRH1_YEAST	15806000	14758000	14096000	21016000	20307000	18262000	13375000	24709000	17626000	19551000	20847000	20198000	21806000	19066000	19000000	8361400	6707600	5399000	21076000	20673000	17696000	18024000	17154000	17258000	16756000	19121000	17408000
sp|P38081|YBQ6_YEAST	29680000	31709000	30378000	40772000	34830000	25941000	29735000	28899000	27201000	25137000	29116000	27268000	29485000	28845000	27145000	27309000	24718000	27707000	27402000	26362000	28768000	30262000	27652000	29684000	28503000	26462000	40663000
sp|P38088|SYG_YEAST	218420000	210620000	202060000	232940000	243740000	226070000	205850000	202960000	197100000	222170000	212790000	217610000	232440000	225560000	226120000	187660000	193680000	195880000	217150000	224650000	224190000	238000000	233610000	225870000	200220000	201070000	213280000
sp|P38115|ARA1_YEAST	84677000	83336000	83895000	89004000	81537000	82405000	82358000	73320000	74576000	88134000	105410000	98728000	95327000	86348000	82714000	78773000	74303000	70385000	86363000	91966000	91848000	99278000	90161000	89502000	94844000	88014000	85290000
sp|P38116|ARL1_YEAST	5278800	5356000	3891600	4360300	4974200	5671600	4148200	5288100	4769000	5182200	5258900	4880600	4489000	3878600	3997700	4884100	4992000	4152100	4772300	5163000	4800600	4712200	5157500	5060500	3498700	4012700	4222900
sp|P38132|MCM7_YEAST	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp|P38137|FAT2_YEAST	50891000	54818000	49426000	49721000	48383000	49899000	55231000	48936000	53339000	57628000	55414000	64821000	49910000	50451000	48743000	52389000	51174000	46584000	57842000	53201000	50675000	46618000	51148000	59233000	36014000	45314000	43130000
sp|P38143|GPX2_YEAST	6500200	6283100	6597100	5267200	6336900	6168800	5564800	6895200	5512600	6689700	6317100	5797400	6224600	6913100	5772600	4539000	6876500	4977100	6716200	5776900	7508000	6940200	5531400	8292100	5878600	5784900	6026000
sp|P38145|RISA_YEAST	9323800	7466800	7214100	7441200	8585200	7724800	6689700	6499000	6048300	9756100	8174800	9555000	9199500	7109000	8903200	6800800	5508600	6101900	9869400	8983200	8805400	6965300	9374700	7255200	6805500	7059500	6755200
sp|P38158|MAL32_YEAST;sp|P53341|MAL12_YEAST	588450	0	647990	709880	785620	802780	639670	1322000	1111900	1049100	663840	723230	818710	903680	526310	926820	1112500	1082200	0	666640	967960	0	599490	594040	0	0	1167400
sp|P38182|ATG8_YEAST	16947000	13354000	15615000	15497000	15599000	14709000	15601000	12042000	11873000	14712000	16367000	13624000	14587000	14395000	14447000	10128000	11658000	10951000	13440000	13573000	15732000	14589000	13609000	14302000	19618000	20752000	18847000
sp|P38197|PLPHP_YEAST	18118000	18951000	20661000	15666000	19194000	20149000	14261000	16192000	16057000	15971000	20771000	17698000	19624000	20185000	14965000	13416000	13590000	11465000	16915000	18380000	18951000	19809000	17305000	18823000	12124000	16503000	16503000
sp|P38205|NCL1_YEAST	15022000	16735000	18057000	18773000	18883000	16740000	18965000	17001000	20358000	20085000	20181000	18601000	19787000	20701000	19020000	18374000	22893000	22149000	24543000	20810000	21866000	16289000	23704000	18549000	17150000	22788000	20201000
sp|P38206|RFT1_YEAST	12743000	20396000	17178000	16050000	16589000	16408000	14984000	15458000	14383000	13790000	16013000	21134000	15161000	11655000	17978000	12102000	17041000	21056000	12596000	14421000	14128000	13107000	16331000	14867000	13226000	17928000	19695000
sp|P38216|YBM6_YEAST	1544600	1520900	1283400	3052900	2931500	3702500	985250	1819000	1607600	1883700	1657400	1857600	3582400	3002900	3219500	1643300	1545800	1553600	1692000	1602900	1336500	3147700	3225600	3362300	3155900	3220200	3588000
sp|P38219|OLA1_YEAST	390310000	400420000	370580000	411610000	427780000	404910000	373710000	387310000	391500000	396700000	430520000	413340000	403370000	395500000	407460000	395830000	386230000	371320000	414730000	434430000	415060000	433210000	396530000	425180000	421120000	368460000	356990000
